,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"86,700","2,700",-3.02%,100,"5,175,801","5,969,783",55.46,"32,648,526",23.68,8.69
2,SK하이닉스,"129,000","6,000",-4.44%,"5,000","939,123","728,002",50.34,"6,209,459",32.72,4.25
3,LG화학,"955,000","35,000",-3.54%,"5,000","674,157","70,592",43.65,"473,365",89.23,1.84
4,삼성전자우,"78,100","1,100",-1.39%,100,"642,675","822,887",80.11,"2,802,182",21.33,N/A
5,NAVER,"342,000","7,000",-2.01%,100,"561,781","164,263",57.2,"1,244,241",68.09,10.56
6,삼성SDI,"790,000",0,0.00%,"5,000","543,240","68,765",44.57,"469,675",269.53,2.94
7,현대차,"251,500","8,500",-3.27%,"5,000","537,375","213,668",31.17,"1,823,933",60.1,4.32
8,삼성바이오로직스,"802,000","12,000",1.52%,"2,500","530,643","66,165",10.24,"263,909",149.32,4.77
9,셀트리온,"322,500","1,500",0.47%,"1,000","435,368","134,998",20.5,"1,245,685",87.16,11.19
10,카카오,"461,000","12,500",-2.64%,500,"407,994","88,502",33.96,"807,390",-511.65,-5.81
11,기아차,"89,700","3,600",-3.86%,"5,000","363,611","405,363",35.85,"5,749,534",41.68,6.5
12,현대모비스,"338,000","9,500",-2.73%,"5,000","321,285","95,055",41.51,"906,960",20.61,7.28
13,LG전자,"170,000","8,000",-4.49%,"5,000","278,201","163,648",33.95,"3,656,535",36.92,0.22
14,SK이노베이션,"287,500","1,000",0.35%,"5,000","265,838","92,466",23.79,"1,595,795",-10.93,-0.2
15,삼성물산,"141,500","4,500",-3.08%,100,"264,445","186,887",15.08,"993,493",23.71,4.77
16,LG생활건강,"1,626,000","50,000",-2.98%,"5,000","253,952","15,618",45.91,"52,338",36.43,20.32
17,SK,"340,000","15,000",-4.23%,200,"239,225","70,360",21.99,"941,396","1,434.60",4.31
18,POSCO,"257,500","7,000",-2.65%,"5,000","224,506","87,187",51.04,"489,495",23.59,4.18
19,엔씨소프트,"953,000","42,000",-4.22%,500,"209,222","21,954",49.79,"126,799",37.29,14.72
20,SK텔레콤,"254,000","9,000",-3.42%,500,"205,094","80,746",34.89,"461,765",18.7,3.92
21,LG,"104,500","6,000",-5.43%,"5,000","180,322","172,557",34.8,"835,448",14.77,5.87
22,KB금융,"43,000","1,100",-2.49%,"5,000","178,797","415,808",66.55,"2,300,738",5.25,8.92
23,신한지주,"32,350",600,-1.82%,"5,000","167,120","516,600",58.35,"2,460,596",4.64,9.09
24,삼성전기,"217,000","2,500",1.17%,"5,000","162,085","74,694",35.52,"927,102",44.46,10.18
25,삼성에스디에스,"202,500","5,000",-2.41%,500,"156,690","77,378",11.77,"274,083",29.89,11.76
26,한국전력,"24,350",100,-0.41%,"5,000","156,318","641,964",17.37,"5,087,923",169.1,-3.42
27,삼성생명,"76,600","1,900",-2.42%,500,"153,200","200,000",12.38,"550,285",15.38,3.26
28,아모레퍼시픽,"238,000","8,000",-3.25%,500,"139,131","58,458",32.94,"423,201",382.64,5.36
29,SK바이오팜,"152,000",0,0.00%,500,"119,036","78,313",4.88,"245,192",-138.18,-313.66
30,KT&G,"81,200",400,-0.49%,"5,000","111,482","137,292",40.37,"835,333",11.33,12.39
31,넷마블,"127,500","2,500",-1.92%,100,"109,494","85,878",23.22,"517,582",51.64,3.54
32,하나금융지주,"35,300",950,-2.62%,"5,000","105,985","300,242",67.22,"2,056,237",4.32,8.77
33,롯데케미칼,"282,000","5,500",-1.91%,"5,000","96,657","34,275",26.32,"309,630",83.36,5.51
34,한온시스템,"17,950",250,-1.37%,100,"95,817","533,800",20.23,"2,498,728",68.25,14.98
35,한화솔루션,"54,600","1,300",-2.33%,"5,000","87,286","159,864",19.3,"2,128,510",-100.18,-4.02
36,LG디스플레이,"24,100",550,2.34%,"5,000","86,234","357,816",24.32,"6,793,255",-3.51,-22.35
37,포스코케미칼,"138,500","1,500",-1.07%,500,"84,469","60,988",7.53,"315,161",311.24,11.57
38,삼성화재,"176,500","3,500",-1.94%,500,"83,617","47,375",44.84,"224,862",12.9,4.85
39,현대글로비스,"217,500","10,000",-4.40%,500,"81,562","37,500",35.4,"607,717",12.22,11.25
40,S-Oil,"70,700","1,900",-2.62%,"2,500","79,596","112,583",76.05,"782,873",-9.48,1.01
41,고려아연,"413,500","15,000",-3.50%,"5,000","78,027","18,870",23.17,"101,681",13.93,9.76
42,한국조선해양,"106,000","3,000",-2.75%,"5,000","75,020","70,773",16.5,"541,390",350.99,1.4
43,빅히트,"210,500","7,000",3.44%,500,"74,988","35,624",4.17,"893,873",N/A,56.47
44,CJ제일제당,"461,000","10,000",-2.12%,"5,000","69,400","15,054",24.74,"104,383",9.57,3.16
45,우리금융지주,"9,310",210,-2.21%,"5,000","67,243","722,268",25.12,"2,473,820",4.99,N/A
46,금호석유,"220,500","24,000",12.21%,"5,000","67,181","30,468",29.02,"893,657",18.87,11.84
47,KT,"24,150",600,-2.42%,"5,000","63,058","261,112",43.98,"2,445,830",10.29,4.61
48,미래에셋대우,"9,650",260,-2.62%,"5,000","62,273","645,316",14.95,"3,294,295",10.08,7.56
49,기업은행,"8,280",140,-1.66%,"5,000","61,161","738,664",10.45,"3,782,321",4.23,7.36
50,KODEX 200,"43,055","1,205",-2.72%,0,"59,803","138,900",11.1,"10,467,022",N/A,N/A
51,녹십자,"505,000","43,000",9.31%,"5,000","59,017","11,687",21.79,"1,608,395",135.46,-0.35
52,현대제철,"43,650","1,350",-3.00%,"5,000","58,249","133,446",19.64,"1,025,929",-23.65,0.1
53,코웨이,"73,800",100,-0.14%,500,"54,464","73,800",61.05,"318,449",15.25,30.74
54,한국타이어앤테크놀로지,"43,950",550,-1.24%,500,"54,443","123,875",40.6,"390,311",21.15,6.03
55,한미사이언스,"80,500","2,300",-2.78%,500,"54,180","67,305",1.67,"365,975",365.91,4.73
56,LG유플러스,"12,350",150,-1.20%,"5,000","53,922","436,611",30.7,"5,507,236",6.8,6.3
57,대한항공,"30,500",150,0.49%,"5,000","53,134","174,210",12.06,"5,523,844",-8.97,-22.09
58,LG이노텍,"224,500","14,000",6.65%,"5,000","53,133","23,667",32.49,"1,617,000",40.7,4.73
59,강원랜드,"24,750",650,-2.56%,500,"52,950","213,940",22.53,"1,016,476",-27.87,9.16
60,아모레G,"63,700","2,700",-4.07%,500,"52,526","82,458",20.12,"228,680",225.09,4.12
61,SK케미칼,"439,500","25,500",6.16%,"5,000","51,603","11,741",20.59,"894,317",20.05,1.51
62,유한양행,"71,400","1,400",-1.92%,"1,000","49,961","69,973",20.33,"527,874",27.5,2.43
63,두산중공업,"13,300",50,0.38%,"5,000","49,827","374,637",10.78,"3,673,578",-2.87,-14.73
64,SKC,"130,000","4,500",3.59%,"5,000","49,229","37,868",8.12,"566,627",57.7,3.86
65,신풍제약,"92,500","7,300",-7.31%,500,"49,011","52,985",11.46,"1,839,820","2,569.44",0.8
66,현대건설,"44,000","1,000",-2.22%,"5,000","48,997","111,356",18.94,"1,097,126",21.45,6.3
67,이마트,"174,500","9,000",-4.90%,"5,000","48,643","27,876",31.81,"642,130",8.71,2.76
68,오리온,"123,000","3,000",-2.38%,500,"48,629","39,536",42.03,"189,702",17.76,14.24
69,한국금융지주,"86,900","1,200",-1.36%,"5,000","48,426","55,726",30.57,"430,277",7.95,18.14
70,HMM,"14,050",400,-2.77%,"5,000","45,905","326,726",7.36,"6,404,911",-45.32,-55.46
71,한미약품,"378,000","5,000",-1.31%,"2,500","45,656","12,078",13.9,"132,246","-3,669.90",7.3
72,삼성중공업,"6,770",130,-1.88%,"5,000","42,651","630,000",15.26,"4,491,086",-3.41,-21.88
73,한진칼,"63,400","1,600",-2.46%,"2,500","42,010","66,263",15.4,"100,384",-10.46,-17.56
74,현대차2우B,"115,000","5,000",-4.17%,"5,000","41,958","36,485",60.79,"178,816",27.48,N/A
75,현대중공업지주,"261,000","10,000",-3.69%,"5,000","41,234","15,799",17.88,"91,927",-15.81,2.2
76,맥쿼리인프라,"10,800",200,1.89%,0,"40,197","372,192",13.75,"1,110,860",N/A,N/A
77,두산퓨얼셀,"60,400","2,800",-4.43%,100,"39,558","65,494",19.92,"1,955,293",177.13,N/A
78,CJ대한통운,"169,500","2,500",-1.45%,"5,000","38,667","22,812",21.23,"62,811",30.56,1.41
79,LG화학우,"495,500","1,000",-0.20%,"5,000","38,098","7,689",62.88,"66,083",46.3,N/A
80,키움증권,"148,000","3,000",2.07%,"5,000","37,802","25,542",21.17,"481,036",6.53,16.97
81,롯데지주,"35,150","1,200",-3.30%,200,"36,876","104,909",11.32,"367,098",-5.14,-5.21
82,삼성카드,"31,750",550,-1.70%,"5,000","36,785","115,859",10.81,"151,244",8.93,5.04
83,삼성증권,"40,400",900,-2.18%,"5,000","36,077","89,300",26.3,"809,129",7.67,8.15
84,만도,"76,700","1,500",-1.92%,"1,000","36,016","46,957",25.65,"793,599",-64.94,7.55
85,GS,"38,100",750,-1.93%,"5,000","35,401","92,915",19.34,"439,891",-41.32,6.26
86,쌍용양회,"6,730",140,-2.04%,100,"33,910","503,860",3.1,"1,459,548",27.03,7.02
87,호텔신라,"85,500","3,000",-3.39%,"5,000","33,557","39,248",20.67,"951,473",-25.95,20.16
88,GS건설,"41,500",800,-1.89%,"5,000","33,526","80,785",26.96,"1,051,467",10.86,11.79
89,두산밥캣,"33,200",200,0.61%,500,"33,283","100,249",21.96,"326,099",17.97,7.05
90,한국항공우주,"33,300",450,1.37%,"5,000","32,459","97,475",14.08,"2,202,061",24.52,15.84
91,롯데쇼핑,"114,500","3,000",-2.55%,"5,000","32,391","28,289",11.71,"183,086",-2.42,-8.14
92,NH투자증권,"11,500",350,-2.95%,"5,000","32,362","281,409",15.3,"1,184,397",5.59,9.12
93,에스원,"84,700","1,500",-1.74%,500,"32,185","37,999",56.28,"105,721",22.29,11.32
94,한국가스공사,"34,350",350,1.03%,"5,000","31,710","92,313",8.83,"569,274",-6.32,0.48
95,더존비즈온,"104,500","3,500",-3.24%,500,"31,486","30,130",46.31,"215,169",64.95,18.78
96,동서,"31,050","1,900",-5.77%,500,"30,957","99,700",4.3,"393,305",22.39,10.53
97,TIGER 200,"43,025","1,225",-2.77%,0,"30,870","71,750",1.99,"1,833,790",N/A,N/A
98,대웅,"52,700",400,0.76%,500,"30,641","58,142",5.18,"1,141,866",60.71,10.43
99,CJ,"104,500","3,500",-3.24%,"5,000","30,490","29,177",20.41,"216,931",17.36,6.24
100,일진머티리얼즈,"66,000","1,800",2.80%,500,"30,433","46,111",8.93,"489,807",68.46,8.52
101,DB하이텍,"67,300","3,000",-4.27%,"5,000","29,880","44,399",24.6,"1,703,314",18.16,17.4
102,현대차우,"120,000","3,000",-2.44%,"5,000","29,228","24,357",54.53,"247,794",28.67,N/A
103,대우조선해양,"27,000","1,000",-3.57%,"5,000","28,968","107,291",9.32,"319,242",16.62,-1.22
104,씨에스윈드,"166,000","5,000",-2.92%,500,"28,694","17,286",9.09,"192,984",57.88,9.92
105,현대오토에버,"136,500","3,500",-2.50%,500,"28,665","21,000",1.01,"112,249",49.87,11.71
106,DB손해보험,"39,800",750,-1.85%,500,"28,178","70,800",40.96,"281,359",5.07,6.92
107,휠라홀딩스,"45,850","1,250",-2.65%,"1,000","27,855","60,752",48.48,"350,281",15.46,23.81
108,GS리테일,"36,050",400,-1.10%,"1,000","27,758","77,000",14.85,"325,636",16.43,6.25
109,BGF리테일,"160,500","5,000",3.22%,"1,000","27,741","17,284",31.75,"90,834",21.2,26.46
110,현대위아,"99,900","5,600",-5.31%,"5,000","27,168","27,195",10.93,"1,082,586",21.59,1.8
111,한화,"35,850","1,250",3.61%,"5,000","26,873","74,959",19.74,"2,290,139",14.61,2.09
112,팬오션,"4,955",215,-4.16%,"1,000","26,488","534,570",11.65,"3,804,798",19.58,5.49
113,삼성엔지니어링,"13,300",250,-1.85%,"5,000","26,068","196,000",24.57,"1,412,479",10.21,24.62
114,대우건설,"6,160",140,-2.22%,"5,000","25,602","415,623",8.02,"3,185,014",13.3,8.8
115,OCI,"106,000",0,0.00%,"5,000","25,280","23,849",20.1,"226,061",-3.42,-26.2
116,한화생명,"2,895",115,-3.82%,"5,000","25,144","868,530",7.29,"4,574,603",11.01,0.51
117,DL이앤씨,"126,500","1,000",-0.78%,"5,000","24,489","19,359",31.52,"928,758",N/A,N/A
118,신세계,"248,000","7,000",-2.75%,"5,000","24,416","9,845",24.95,"154,390",-7.97,14.24
119,메리츠증권,"3,530",70,-1.94%,"1,000","23,861","675,962",13.35,"2,682,002",4.42,15.06
120,하이트진로,"33,700",900,-2.60%,"5,000","23,635","70,134",8.65,"612,794",31.85,-3.86
121,종근당,"206,000","3,500",-1.67%,"2,500","23,538","11,426",13.12,"213,570",24.44,11.94
122,현대로템,"21,400",250,1.18%,"5,000","23,356","109,142",4.44,"3,010,600",-12.15,-37.93
123,한샘,"99,200","1,300",-1.29%,"1,000","23,346","23,534",23.18,"67,170",34.83,7.32
124,녹십자홀딩스,"49,450",600,1.23%,500,"23,255","47,028",7.72,"4,461,832",46.74,0.37
125,한솔케미칼,"204,000","5,000",-2.39%,"5,000","23,042","11,295",40.16,"74,639",19.63,20.88
126,제일기획,"20,000",300,-1.48%,200,"23,008","115,041",32.75,"604,541",16.95,15.09
127,LS,"70,700","3,500",-4.72%,"5,000","22,765","32,200",13.81,"475,154",-981.94,0.8
128,한화에어로스페이스,"44,600","1,550",3.60%,"5,000","22,581","50,630",18.65,"2,061,724",31.28,5.45
129,오뚜기,"574,000","8,000",-1.37%,"5,000","21,077","3,672",16.4,"9,320",19.39,7.79
130,KODEX 200선물인버스2X,"2,070",110,5.61%,0,"20,536","992,100",1.35,"352,969,593",N/A,N/A
131,LS ELECTRIC,"67,300","2,100",-3.03%,"5,000","20,190","30,000",14.46,"211,109",25.93,7.82
132,포스코인터내셔널,"16,000",350,-2.14%,"5,000","19,740","123,375",10.99,"1,125,579",8.83,7.06
133,HDC현대산업개발,"29,750","1,400",-4.49%,"5,000","19,607","65,907",10.88,"1,261,709",7.38,20.3
134,대웅제약,"169,000","6,000",3.68%,"2,500","19,581","11,587",4.91,"349,499","-1,181.82",4.34
135,한화시스템,"17,750",750,-4.05%,"5,000","19,566","110,230",7.17,"2,291,771",25.14,8.15
136,KCC,"218,500","2,500",-1.13%,"5,000","19,417","8,886",11.87,"59,755",-693.65,-4.37
137,현대백화점,"82,300","1,700",-2.02%,"5,000","19,260","23,402",14.78,"226,834",16.86,4.64
138,메리츠화재,"15,950",100,0.63%,500,"19,240","120,625",10.41,"488,638",4.68,12.8
139,현대미포조선,"47,650",750,-1.55%,"5,000","19,032","39,942",13.18,"329,017",41.01,2.31
140,현대해상,"20,800",150,0.73%,500,"18,595","89,400",36.56,"453,184",5.1,6.23
141,한올바이오파마,"35,150",0,0.00%,500,"18,363","52,241",7.26,"331,208",93.24,14.9
142,BNK금융지주,"5,580",50,-0.89%,"5,000","18,187","325,935",38.15,"1,789,684",3.79,7.07
143,두산인프라코어,"8,400",30,-0.36%,"5,000","18,138","215,932",6,"2,353,430",10.84,11.59
144,농심,"298,000",0,0.00%,"5,000","18,126","6,083",17.85,"57,393",13.37,3.72
145,현대엘리베이,"44,250",400,-0.90%,"5,000","18,061","40,815",25.76,"389,117",19.82,5.22
146,대한유화,"274,000","5,500",-1.97%,"5,000","17,810","6,500",19.89,"157,972",20.06,6.11
147,KODEX 단기채권,"102,665",0,0.00%,0,"17,698","17,239",0,"23,190",N/A,N/A
148,아이에스동서,"56,000","1,800",-3.11%,500,"17,300","30,893",5.49,"155,150",13.5,6.1
149,명신산업,"42,200","1,150",-2.65%,500,"17,209","40,779",1.45,"755,250",N/A,53.84
150,KODEX 삼성그룹,"10,775",185,-1.69%,0,"17,132","159,000",0.03,"1,079,867",N/A,N/A
151,솔루스첨단소재,"54,400","1,900",-3.37%,100,"16,641","30,590",9.9,"628,984",157.23,N/A
152,KODEX 200TR,"13,865",385,-2.70%,0,"16,534","119,250",0.04,"986,965",N/A,N/A
153,KODEX MSCI Korea TR,"13,995",305,-2.13%,0,"16,290","116,400",10.97,"311,078",N/A,N/A
154,KODEX 레버리지,"27,865","1,570",-5.33%,0,"16,217","58,200",4.71,"42,150,731",N/A,N/A
155,효성,"76,500","1,500",-1.92%,"5,000","16,119","21,071",6.89,"145,514",-35.86,4.25
156,LG생활건강우,"755,000","5,000",0.67%,"5,000","15,853","2,100",84.34,"12,372",16.92,N/A
157,F&F,"101,500","5,500",-5.14%,500,"15,631","15,400",10.09,"114,229",17.94,25.13
158,세방전지,"111,000","1,500",-1.33%,500,"15,540","14,000",26.45,"192,483",21.03,7.7
159,영원무역,"35,000",200,-0.57%,500,"15,509","44,311",23.74,"197,863",9.47,9.82
160,지누스,"107,500",500,-0.46%,500,"15,487","14,407",23.02,"104,676",21.7,26.32
